#{"t_start": 1765847988.766026, "env_id": "gymnasium_env/Decoder-v0"}
r,l,t
0.382691,10,42.268989
0.352023,10,42.31301
0.407938,10,42.355572
0.367546,10,42.395392
0.356689,10,42.450307
0.41315,10,42.513403
0.364412,10,42.564389
0.412349,10,42.607649
0.394653,10,42.668301
0.403213,10,42.724245
0.411635,10,42.767106
0.428074,10,42.810938
0.422141,10,42.850114
0.356891,10,42.900348
0.392301,10,42.936389
0.390846,10,42.983417
0.369759,10,43.026502
0.362982,10,43.064593
0.365654,10,43.099672
0.354074,10,43.157886
0.400239,10,43.209838
0.410592,10,43.27048
0.41153,10,43.325172
0.383765,10,43.366715
0.348038,10,43.400362
0.367648,10,43.459965
0.412989,10,43.507082
0.35525,10,43.555375
0.403212,10,43.592067
0.411369,10,43.645272
0.375091,10,43.700894
0.366661,10,43.745429
0.418962,10,43.789791
0.389649,10,43.839641
0.402533,10,43.89732
0.396794,10,43.97218
0.358002,10,44.044989
0.400158,10,44.103543
0.373421,10,44.170191
0.31242,10,44.211676
0.397944,10,44.275509
0.400431,10,44.335289
0.418576,10,44.381799
0.343617,10,44.428663
0.382764,10,44.489185
0.414677,10,44.537995
0.394216,10,44.601562
0.382502,10,44.665324
0.390562,10,44.736361
0.370973,10,44.796322
0.37633,10,44.844667
0.348104,10,44.911689
0.35144,10,44.968261
0.3816,10,45.013187
0.38009,10,45.070845
0.352265,10,45.113994
0.377661,10,45.174325
0.393666,10,45.211711
0.383502,10,45.248129
0.430643,10,45.295808
0.413106,10,45.338547
0.367916,10,45.393012
0.356361,10,45.446851
0.384772,10,48.937313
0.407579,10,48.976862
0.396985,10,49.02629
0.399559,10,49.081122
0.404505,10,49.120898
0.400549,10,49.164745
0.419378,10,49.211571
0.407782,10,49.272309
0.435556,10,49.321233
0.353377,10,49.363649
0.396075,10,49.407299
0.401601,10,49.455089
0.414011,10,49.505023
0.3821,10,49.546537
0.40653,10,49.585647
0.419778,10,49.627429
0.374321,10,49.667529
0.447385,10,49.712504
0.417238,10,49.755042
0.397853,10,49.802069
0.421629,10,49.847409
0.392864,10,49.905832
0.338292,10,49.939462
0.384859,10,49.978024
0.405823,10,50.034689
0.412103,10,50.087008
0.340713,10,50.129463
0.3632,10,50.164911
0.402515,10,50.198185
0.355115,10,50.241522
0.424791,10,50.287633
0.39976,10,50.33307
0.402237,10,50.372891
0.427329,10,50.408977
0.395399,10,50.450615
0.364765,10,50.50506
0.420453,10,50.546046
0.431667,10,50.58749
0.385017,10,50.623935
0.374796,10,50.664469
0.388648,10,50.700824
0.404376,10,50.740272
0.382001,10,50.781597
0.358278,10,50.827782
0.392045,10,50.863719
0.393177,10,50.897276
0.396838,10,50.94596
0.416331,10,50.98313
0.38142,10,51.01959
0.413561,10,51.065673
0.416212,10,51.117729
0.386131,10,51.168034
0.353008,10,51.224121
0.380669,10,51.272009
0.417295,10,51.308284
0.404914,10,51.3498
0.391063,10,51.399405
0.384564,10,51.440365
0.390241,10,51.479588
0.446592,10,51.515485
0.415342,10,51.557919
0.380818,10,51.593498
0.381769,10,51.653834
