source,mode,cluster_size,iteration,cluster_id,avg_abs_llr,snr_db
rl,dqn | LDPC-DiscreteMI-v0,384,6,31,2.7123109058337938,0.0
rl,dqn | LDPC-DiscreteMI-v0,384,6,32,3.474627586007141,0.0
rl,dqn | LDPC-DiscreteMI-v0,384,6,33,3.247631607646666,0.0
rl,dqn | LDPC-DiscreteMI-v0,384,6,34,3.273463668015157,0.0
rl,dqn | LDPC-DiscreteMI-v0,384,6,35,3.451907233481356,0.0
rl,dqn | LDPC-DiscreteMI-v0,384,6,36,3.405606111260804,0.0
rl,dqn | LDPC-DiscreteMI-v0,384,6,37,2.724438229561849,0.0
rl,dqn | LDPC-DiscreteMI-v0,384,6,38,3.451907233481356,0.0
rl,dqn | LDPC-DiscreteMI-v0,384,6,39,3.420547480030548,0.0
rl,dqn | LDPC-DiscreteMI-v0,384,6,40,3.100547795631275,0.0
rl,dqn | LDPC-DiscreteMI-v0,384,6,41,3.451907233481356,0.0
rl,dqn | LDPC-DiscreteMI-v0,384,7,0,4.422382544201729,0.0
rl,dqn | LDPC-DiscreteMI-v0,384,7,1,4.495454725657839,0.0
rl,dqn | LDPC-DiscreteMI-v0,384,7,2,4.188496883782267,0.0
rl,dqn | LDPC-DiscreteMI-v0,384,7,3,4.33732041807605,0.0
rl,dqn | LDPC-DiscreteMI-v0,384,7,4,4.484448396353051,0.0
rl,dqn | LDPC-DiscreteMI-v0,384,7,5,4.564420912067882,0.0
rl,dqn | LDPC-DiscreteMI-v0,384,7,6,4.810689074156299,0.0
rl,dqn | LDPC-DiscreteMI-v0,384,7,7,4.480438663490418,0.0
rl,dqn | LDPC-DiscreteMI-v0,384,7,8,4.256078479898369,0.0
rl,dqn | LDPC-DiscreteMI-v0,384,7,9,4.237996309493003,0.0
rl,dqn | LDPC-DiscreteMI-v0,384,7,10,4.439444854277895,0.0
rl,dqn | LDPC-DiscreteMI-v0,384,7,11,4.498064788514997,0.0
rl,dqn | LDPC-DiscreteMI-v0,384,7,12,4.332868510062275,0.0
