#{"t_start": 1765848107.7643044, "env_id": "gymnasium_env/Decoder-v0"}
r,l,t
0.339655,10,22.151801
0.349345,10,22.167831
0.400787,10,22.208831
0.367729,10,22.232955
0.397218,10,22.251379
0.350866,10,22.276056
0.366055,10,22.313054
0.271814,10,22.340871
0.368388,10,22.369195
0.307521,10,22.39102
0.374088,10,22.431714
0.363273,10,22.457469
0.35553,10,22.480648
0.339232,10,22.508942
0.412572,10,22.530082
0.354241,10,22.551042
0.309314,10,22.576539
0.341182,10,22.597018
0.393503,10,22.629931
0.235674,10,22.655168
0.354112,10,22.688801
0.392832,10,22.710123
0.383795,10,22.751874
0.431499,10,22.789741
0.364118,10,22.827195
0.330761,10,22.868319
0.348605,10,22.920054
0.349516,10,22.946939
0.370075,10,22.984702
0.340376,10,23.012693
0.320312,10,23.051335
0.299749,10,23.069185
0.352693,10,23.096799
0.433788,10,23.117709
0.387778,10,23.151226
0.291073,10,23.179733
0.39527,10,23.24233
0.36775,10,23.319858
0.331118,10,23.380375
0.315441,10,23.409333
0.338234,10,23.437956
0.361785,10,23.463197
0.278324,10,23.486026
0.403443,10,23.509414
0.403084,10,23.540972
0.361516,10,23.566679
0.391873,10,23.595961
0.408809,10,23.613654
0.29987,10,23.645986
0.315869,10,23.671271
0.272977,10,23.699635
0.346355,10,23.719508
0.39276,10,23.75367
0.320746,10,23.80162
0.354108,10,23.848835
0.39097,10,23.886129
0.377072,10,23.922775
0.363361,10,23.951213
0.379527,10,23.987608
0.383495,10,24.011708
0.386554,10,24.039752
0.385724,10,24.057567
0.354351,10,24.085954
0.324092,10,24.110091
0.409709,10,24.136789
0.304921,10,24.16325
0.252111,10,24.196932
0.313329,10,24.211983
0.2896,10,24.241699
0.279247,10,24.272204
0.385112,10,24.299136
0.353501,10,24.317497
0.391175,10,24.344007
0.381383,10,24.360371
0.259774,10,24.399038
0.280145,10,24.419887
0.352343,10,24.452932
0.305115,10,24.473577
0.215363,10,24.509063
0.381656,10,24.538121
0.251864,10,24.574192
0.31576,10,24.613476
0.40973,10,24.645866
0.37829,10,24.667341
0.285353,10,24.700809
0.357394,10,24.733509
0.354302,10,24.770145
0.363603,10,24.796935
0.3703,10,24.834649
0.394722,10,24.860956
0.351002,10,24.891321
0.362677,10,24.921729
0.40409,10,24.955984
0.367384,10,24.976192
0.308703,10,25.003124
0.366077,10,25.030999
0.338785,10,25.053068
0.333176,10,25.073901
0.419569,10,25.103977
0.372993,10,25.13526
0.39063,10,25.16325
0.409107,10,25.179546
0.332949,10,25.217768
0.329833,10,25.235583
0.327448,10,25.269723
0.363331,10,25.290049
0.381505,10,25.316114
0.424081,10,25.348062
0.314923,10,25.371361
0.347524,10,25.39533
0.31606,10,25.424952
0.299261,10,25.446043
0.385797,10,25.47578
0.370242,10,25.500573
0.353041,10,25.534378
0.394995,10,25.554684
0.281625,10,25.58092
0.3477,10,25.606057
0.314178,10,25.639931
0.326379,10,25.667567
0.328787,10,25.6908
0.403344,10,25.706833
0.391599,10,25.737829
0.388156,10,25.764615
0.31223,10,25.790828
0.285786,10,25.809837
0.33448,10,25.857585
0.322249,10,25.881249
0.358734,10,25.913922
