source,mode,cluster_size,iteration,cluster_id,max_residual,snr_db
rl,ppo | LDPC-DiscreteMI-v0,48,14,5,5.566072994269723,0.0
rl,ppo | LDPC-DiscreteMI-v0,48,14,6,4.8549997447151565,0.0
rl,ppo | LDPC-DiscreteMI-v0,48,14,7,5.289278675872303,0.0
rl,ppo | LDPC-DiscreteMI-v0,48,14,8,5.762796970042492,0.0
rl,ppo | LDPC-DiscreteMI-v0,48,14,9,0.0,0.0
rl,ppo | LDPC-DiscreteMI-v0,48,14,10,5.457859802030297,0.0
rl,ppo | LDPC-DiscreteMI-v0,48,14,11,6.380369202692517,0.0
rl,ppo | LDPC-DiscreteMI-v0,48,15,0,2.8403947746128986,0.0
rl,ppo | LDPC-DiscreteMI-v0,48,15,1,3.9316165531231975,0.0
rl,ppo | LDPC-DiscreteMI-v0,48,15,2,3.005980979398517,0.0
rl,ppo | LDPC-DiscreteMI-v0,48,15,3,3.8681641621632568,0.0
rl,ppo | LDPC-DiscreteMI-v0,48,15,4,4.8706008361861945,0.0
rl,ppo | LDPC-DiscreteMI-v0,48,15,5,5.566072994269723,0.0
rl,ppo | LDPC-DiscreteMI-v0,48,15,6,4.8549997447151565,0.0
rl,ppo | LDPC-DiscreteMI-v0,48,15,7,5.289278675872303,0.0
rl,ppo | LDPC-DiscreteMI-v0,48,15,8,5.762796970042492,0.0
rl,ppo | LDPC-DiscreteMI-v0,48,15,9,0.0,0.0
rl,ppo | LDPC-DiscreteMI-v0,48,15,10,5.457859802030297,0.0
rl,ppo | LDPC-DiscreteMI-v0,48,15,11,6.380369202692517,0.0
rl,ppo | LDPC-DiscreteMI-v0,48,16,0,2.8403947746128986,0.0
rl,ppo | LDPC-DiscreteMI-v0,48,16,1,3.9316165531231975,0.0
rl,ppo | LDPC-DiscreteMI-v0,48,16,2,3.005980979398517,0.0
rl,ppo | LDPC-DiscreteMI-v0,48,16,3,3.8681641621632568,0.0
rl,ppo | LDPC-DiscreteMI-v0,48,16,4,4.8706008361861945,0.0
rl,ppo | LDPC-DiscreteMI-v0,48,16,5,5.566072994269723,0.0
rl,ppo | LDPC-DiscreteMI-v0,48,16,6,4.8549997447151565,0.0
rl,ppo | LDPC-DiscreteMI-v0,48,16,7,5.289278675872303,0.0
rl,ppo | LDPC-DiscreteMI-v0,48,16,8,5.762796970042492,0.0
rl,ppo | LDPC-DiscreteMI-v0,48,16,9,0.0,0.0
rl,ppo | LDPC-DiscreteMI-v0,48,16,10,5.457859802030297,0.0
rl,ppo | LDPC-DiscreteMI-v0,48,16,11,6.380369202692517,0.0
rl,ppo | LDPC-DiscreteMI-v0,48,17,0,2.8403947746128986,0.0
rl,ppo | LDPC-DiscreteMI-v0,48,17,1,3.9316165531231975,0.0
rl,ppo | LDPC-DiscreteMI-v0,48,17,2,3.005980979398517,0.0
rl,ppo | LDPC-DiscreteMI-v0,48,17,3,3.8681641621632568,0.0
rl,ppo | LDPC-DiscreteMI-v0,48,17,4,4.8706008361861945,0.0
rl,ppo | LDPC-DiscreteMI-v0,48,17,5,5.566072994269723,0.0
rl,ppo | LDPC-DiscreteMI-v0,48,17,6,4.8549997447151565,0.0
rl,ppo | LDPC-DiscreteMI-v0,48,17,7,5.289278675872303,0.0
rl,ppo | LDPC-DiscreteMI-v0,48,17,8,5.762796970042492,0.0
rl,ppo | LDPC-DiscreteMI-v0,48,17,9,0.0,0.0
rl,ppo | LDPC-DiscreteMI-v0,48,17,10,5.457859802030297,0.0
rl,ppo | LDPC-DiscreteMI-v0,48,17,11,6.380369202692517,0.0
rl,ppo | LDPC-DiscreteMI-v0,48,18,0,2.8403947746128986,0.0
rl,ppo | LDPC-DiscreteMI-v0,48,18,1,3.9316165531231975,0.0
rl,ppo | LDPC-DiscreteMI-v0,48,18,2,3.005980979398517,0.0
rl,ppo | LDPC-DiscreteMI-v0,48,18,3,3.8681641621632568,0.0
rl,ppo | LDPC-DiscreteMI-v0,48,18,4,4.8706008361861945,0.0
rl,ppo | LDPC-DiscreteMI-v0,48,18,5,5.566072994269723,0.0
rl,ppo | LDPC-DiscreteMI-v0,48,18,6,4.8549997447151565,0.0
rl,ppo | LDPC-DiscreteMI-v0,48,18,7,5.289278675872303,0.0
rl,ppo | LDPC-DiscreteMI-v0,48,18,8,5.762796970042492,0.0
rl,ppo | LDPC-DiscreteMI-v0,48,18,9,0.0,0.0
rl,ppo | LDPC-DiscreteMI-v0,48,18,10,5.457859802030297,0.0
rl,ppo | LDPC-DiscreteMI-v0,48,18,11,6.380369202692517,0.0
rl,ppo | LDPC-DiscreteMI-v0,48,19,0,2.8403947746128986,0.0
rl,ppo | LDPC-DiscreteMI-v0,48,19,1,3.9316165531231975,0.0
rl,ppo | LDPC-DiscreteMI-v0,48,19,2,3.005980979398517,0.0
rl,ppo | LDPC-DiscreteMI-v0,48,19,3,3.8681641621632568,0.0
rl,ppo | LDPC-DiscreteMI-v0,48,19,4,4.8706008361861945,0.0
rl,ppo | LDPC-DiscreteMI-v0,48,19,5,5.566072994269723,0.0
rl,ppo | LDPC-DiscreteMI-v0,48,19,6,4.8549997447151565,0.0
rl,ppo | LDPC-DiscreteMI-v0,48,19,7,5.289278675872303,0.0
rl,ppo | LDPC-DiscreteMI-v0,48,19,8,5.762796970042492,0.0
rl,ppo | LDPC-DiscreteMI-v0,48,19,9,0.0,0.0
rl,ppo | LDPC-DiscreteMI-v0,48,19,10,5.457859802030297,0.0
rl,ppo | LDPC-DiscreteMI-v0,48,19,11,6.380369202692517,0.0
rl,ppo | LDPC-DiscreteMI-v0,48,20,0,2.8403947746128986,0.0
rl,ppo | LDPC-DiscreteMI-v0,48,20,1,3.9316165531231975,0.0
rl,ppo | LDPC-DiscreteMI-v0,48,20,2,3.005980979398517,0.0
rl,ppo | LDPC-DiscreteMI-v0,48,20,3,3.8681641621632568,0.0
rl,ppo | LDPC-DiscreteMI-v0,48,20,4,4.8706008361861945,0.0
rl,ppo | LDPC-DiscreteMI-v0,48,20,5,5.566072994269723,0.0
rl,ppo | LDPC-DiscreteMI-v0,48,20,6,4.8549997447151565,0.0
rl,ppo | LDPC-DiscreteMI-v0,48,20,7,5.289278675872303,0.0
rl,ppo | LDPC-DiscreteMI-v0,48,20,8,5.762796970042492,0.0
rl,ppo | LDPC-DiscreteMI-v0,48,20,9,0.0,0.0
rl,ppo | LDPC-DiscreteMI-v0,48,20,10,5.457859802030297,0.0
rl,ppo | LDPC-DiscreteMI-v0,48,20,11,6.380369202692517,0.0
rl,ppo | LDPC-DiscreteMI-v0,48,21,0,2.8403947746128986,0.0
rl,ppo | LDPC-DiscreteMI-v0,48,21,1,3.9316165531231975,0.0
rl,ppo | LDPC-DiscreteMI-v0,48,21,2,3.005980979398517,0.0
rl,ppo | LDPC-DiscreteMI-v0,48,21,3,3.8681641621632568,0.0
rl,ppo | LDPC-DiscreteMI-v0,48,21,4,4.8706008361861945,0.0
rl,ppo | LDPC-DiscreteMI-v0,48,21,5,5.566072994269723,0.0
rl,ppo | LDPC-DiscreteMI-v0,48,21,6,4.8549997447151565,0.0
rl,ppo | LDPC-DiscreteMI-v0,48,21,7,5.289278675872303,0.0
rl,ppo | LDPC-DiscreteMI-v0,48,21,8,5.762796970042492,0.0
rl,ppo | LDPC-DiscreteMI-v0,48,21,9,0.0,0.0
rl,ppo | LDPC-DiscreteMI-v0,48,21,10,5.457859802030297,0.0
rl,ppo | LDPC-DiscreteMI-v0,48,21,11,6.380369202692517,0.0
