source,mode,cluster_size,iteration,cluster_id,max_residual,snr_db
baseline,residual,48,30,4,0.0,0.0
baseline,residual,48,30,5,0.0,0.0
baseline,residual,48,30,6,0.0,0.0
baseline,residual,48,30,7,0.0,0.0
baseline,residual,48,30,8,0.0,0.0
baseline,residual,48,30,9,0.0,0.0
baseline,residual,48,30,10,0.0,0.0
baseline,residual,48,30,11,0.0,0.0
baseline,residual,48,31,0,0.0,0.0
baseline,residual,48,31,1,0.0,0.0
baseline,residual,48,31,2,0.0,0.0
baseline,residual,48,31,3,0.0,0.0
baseline,residual,48,31,4,0.0,0.0
baseline,residual,48,31,5,0.0,0.0
baseline,residual,48,31,6,0.0,0.0
baseline,residual,48,31,7,0.0,0.0
baseline,residual,48,31,8,0.0,0.0
baseline,residual,48,31,9,0.0,0.0
baseline,residual,48,31,10,0.0,0.0
baseline,residual,48,31,11,0.0,0.0
baseline,residual,48,32,0,0.0,0.0
baseline,residual,48,32,1,0.0,0.0
baseline,residual,48,32,2,0.0,0.0
baseline,residual,48,32,3,0.0,0.0
baseline,residual,48,32,4,0.0,0.0
baseline,residual,48,32,5,0.0,0.0
baseline,residual,48,32,6,0.0,0.0
baseline,residual,48,32,7,0.0,0.0
baseline,residual,48,32,8,0.0,0.0
baseline,residual,48,32,9,0.0,0.0
baseline,residual,48,32,10,0.0,0.0
baseline,residual,48,32,11,0.0,0.0
baseline,residual,48,33,0,0.0,0.0
baseline,residual,48,33,1,0.0,0.0
baseline,residual,48,33,2,0.0,0.0
baseline,residual,48,33,3,0.0,0.0
baseline,residual,48,33,4,0.0,0.0
baseline,residual,48,33,5,0.0,0.0
baseline,residual,48,33,6,0.0,0.0
baseline,residual,48,33,7,0.0,0.0
baseline,residual,48,33,8,0.0,0.0
baseline,residual,48,33,9,0.0,0.0
baseline,residual,48,33,10,0.0,0.0
baseline,residual,48,33,11,0.0,0.0
baseline,residual,48,34,0,0.0,0.0
baseline,residual,48,34,1,0.0,0.0
baseline,residual,48,34,2,0.0,0.0
baseline,residual,48,34,3,0.0,0.0
baseline,residual,48,34,4,0.0,0.0
baseline,residual,48,34,5,0.0,0.0
baseline,residual,48,34,6,0.0,0.0
baseline,residual,48,34,7,0.0,0.0
baseline,residual,48,34,8,0.0,0.0
baseline,residual,48,34,9,0.0,0.0
baseline,residual,48,34,10,0.0,0.0
baseline,residual,48,34,11,0.0,0.0
baseline,residual,48,35,0,0.0,0.0
baseline,residual,48,35,1,0.0,0.0
baseline,residual,48,35,2,0.0,0.0
baseline,residual,48,35,3,0.0,0.0
baseline,residual,48,35,4,0.0,0.0
baseline,residual,48,35,5,0.0,0.0
baseline,residual,48,35,6,0.0,0.0
baseline,residual,48,35,7,0.0,0.0
baseline,residual,48,35,8,0.0,0.0
baseline,residual,48,35,9,0.0,0.0
baseline,residual,48,35,10,0.0,0.0
baseline,residual,48,35,11,0.0,0.0
baseline,residual,48,36,0,0.0,0.0
baseline,residual,48,36,1,0.0,0.0
baseline,residual,48,36,2,0.0,0.0
baseline,residual,48,36,3,0.0,0.0
baseline,residual,48,36,4,0.0,0.0
baseline,residual,48,36,5,0.0,0.0
baseline,residual,48,36,6,0.0,0.0
baseline,residual,48,36,7,0.0,0.0
baseline,residual,48,36,8,0.0,0.0
baseline,residual,48,36,9,0.0,0.0
baseline,residual,48,36,10,0.0,0.0
baseline,residual,48,36,11,0.0,0.0
baseline,residual,48,37,0,0.0,0.0
baseline,residual,48,37,1,0.0,0.0
baseline,residual,48,37,2,0.0,0.0
baseline,residual,48,37,3,0.0,0.0
baseline,residual,48,37,4,0.0,0.0
baseline,residual,48,37,5,0.0,0.0
baseline,residual,48,37,6,0.0,0.0
baseline,residual,48,37,7,0.0,0.0
baseline,residual,48,37,8,0.0,0.0
baseline,residual,48,37,9,0.0,0.0
baseline,residual,48,37,10,0.0,0.0
baseline,residual,48,37,11,0.0,0.0
baseline,residual,48,38,0,0.0,0.0
baseline,residual,48,38,1,0.0,0.0
baseline,residual,48,38,2,0.0,0.0
baseline,residual,48,38,3,0.0,0.0
baseline,residual,48,38,4,0.0,0.0
baseline,residual,48,38,5,0.0,0.0
baseline,residual,48,38,6,0.0,0.0
baseline,residual,48,38,7,0.0,0.0
baseline,residual,48,38,8,0.0,0.0
baseline,residual,48,38,9,0.0,0.0
baseline,residual,48,38,10,0.0,0.0
baseline,residual,48,38,11,0.0,0.0
baseline,residual,48,39,0,0.0,0.0
