source,mode,cluster_size,iteration,cluster_id,max_residual,snr_db
baseline,layered,24,11,22,5.986041034392833,0.0
baseline,layered,24,11,23,4.597689936596569,0.0
baseline,layered,24,12,0,0.0,0.0
baseline,layered,24,12,1,0.0,0.0
baseline,layered,24,12,2,0.0,0.0
baseline,layered,24,12,3,0.0,0.0
baseline,layered,24,12,4,0.0,0.0
baseline,layered,24,12,5,0.0,0.0
baseline,layered,24,12,6,0.0,0.0
baseline,layered,24,12,7,0.0,0.0
baseline,layered,24,12,8,0.0,0.0
baseline,layered,24,12,9,0.0,0.0
baseline,layered,24,12,10,0.0,0.0
baseline,layered,24,12,11,0.0,0.0
baseline,layered,24,12,12,5.195143103920704,0.0
baseline,layered,24,12,13,5.747506973412645,0.0
baseline,layered,24,12,14,5.23704952153753,0.0
baseline,layered,24,12,15,5.4100879666559765,0.0
baseline,layered,24,12,16,4.337367404442795,0.0
baseline,layered,24,12,17,5.512092644668852,0.0
baseline,layered,24,12,18,3.8438057405965758,0.0
baseline,layered,24,12,19,6.048170256893621,0.0
baseline,layered,24,12,20,5.682811077897046,0.0
baseline,layered,24,12,21,8.295391488466219,0.0
baseline,layered,24,12,22,5.986041034392833,0.0
baseline,layered,24,12,23,4.597689936596569,0.0
baseline,layered,24,13,0,0.0,0.0
baseline,layered,24,13,1,0.0,0.0
baseline,layered,24,13,2,0.0,0.0
baseline,layered,24,13,3,0.0,0.0
baseline,layered,24,13,4,0.0,0.0
baseline,layered,24,13,5,0.0,0.0
baseline,layered,24,13,6,0.0,0.0
baseline,layered,24,13,7,0.0,0.0
baseline,layered,24,13,8,0.0,0.0
baseline,layered,24,13,9,0.0,0.0
baseline,layered,24,13,10,0.0,0.0
baseline,layered,24,13,11,0.0,0.0
baseline,layered,24,13,12,0.0,0.0
baseline,layered,24,13,13,5.747506973412645,0.0
baseline,layered,24,13,14,5.23704952153753,0.0
baseline,layered,24,13,15,5.4100879666559765,0.0
baseline,layered,24,13,16,4.337367404442795,0.0
baseline,layered,24,13,17,5.512092644668852,0.0
baseline,layered,24,13,18,3.8438057405965758,0.0
baseline,layered,24,13,19,6.048170256893621,0.0
baseline,layered,24,13,20,5.682811077897046,0.0
baseline,layered,24,13,21,8.295391488466219,0.0
baseline,layered,24,13,22,5.986041034392833,0.0
baseline,layered,24,13,23,4.597689936596569,0.0
baseline,layered,24,14,0,0.0,0.0
baseline,layered,24,14,1,0.0,0.0
baseline,layered,24,14,2,0.0,0.0
baseline,layered,24,14,3,0.0,0.0
baseline,layered,24,14,4,0.0,0.0
baseline,layered,24,14,5,0.0,0.0
baseline,layered,24,14,6,0.0,0.0
baseline,layered,24,14,7,0.0,0.0
baseline,layered,24,14,8,0.0,0.0
baseline,layered,24,14,9,0.0,0.0
baseline,layered,24,14,10,0.0,0.0
baseline,layered,24,14,11,0.0,0.0
baseline,layered,24,14,12,0.0,0.0
baseline,layered,24,14,13,0.0,0.0
baseline,layered,24,14,14,5.23704952153753,0.0
baseline,layered,24,14,15,5.4100879666559765,0.0
baseline,layered,24,14,16,4.337367404442795,0.0
baseline,layered,24,14,17,5.512092644668852,0.0
baseline,layered,24,14,18,3.8438057405965758,0.0
baseline,layered,24,14,19,6.048170256893621,0.0
baseline,layered,24,14,20,5.682811077897046,0.0
baseline,layered,24,14,21,8.295391488466219,0.0
baseline,layered,24,14,22,5.986041034392833,0.0
baseline,layered,24,14,23,4.597689936596569,0.0
baseline,layered,24,15,0,0.0,0.0
baseline,layered,24,15,1,0.0,0.0
baseline,layered,24,15,2,0.0,0.0
baseline,layered,24,15,3,0.0,0.0
baseline,layered,24,15,4,0.0,0.0
baseline,layered,24,15,5,0.0,0.0
baseline,layered,24,15,6,0.0,0.0
baseline,layered,24,15,7,0.0,0.0
baseline,layered,24,15,8,0.0,0.0
baseline,layered,24,15,9,0.0,0.0
baseline,layered,24,15,10,0.0,0.0
baseline,layered,24,15,11,0.0,0.0
baseline,layered,24,15,12,0.0,0.0
baseline,layered,24,15,13,0.0,0.0
baseline,layered,24,15,14,0.0,0.0
baseline,layered,24,15,15,5.4100879666559765,0.0
