source,mode,cluster_size,iteration,cluster_id,avg_abs_llr,snr_db
rl,ppo | LDPC-DiscreteResidual-v0,48,10,11,4.524595247754992,0.0
rl,ppo | LDPC-DiscreteResidual-v0,48,11,0,4.332440368745479,0.0
rl,ppo | LDPC-DiscreteResidual-v0,48,11,1,4.24608393784969,0.0
rl,ppo | LDPC-DiscreteResidual-v0,48,11,2,4.035122279627402,0.0
rl,ppo | LDPC-DiscreteResidual-v0,48,11,3,4.274589181701081,0.0
rl,ppo | LDPC-DiscreteResidual-v0,48,11,4,4.277683701267653,0.0
rl,ppo | LDPC-DiscreteResidual-v0,48,11,5,4.29075749840852,0.0
rl,ppo | LDPC-DiscreteResidual-v0,48,11,6,4.494675271900407,0.0
rl,ppo | LDPC-DiscreteResidual-v0,48,11,7,4.762762835787541,0.0
rl,ppo | LDPC-DiscreteResidual-v0,48,11,8,4.25316699140053,0.0
rl,ppo | LDPC-DiscreteResidual-v0,48,11,9,4.353469575310231,0.0
rl,ppo | LDPC-DiscreteResidual-v0,48,11,10,4.122532849190943,0.0
rl,ppo | LDPC-DiscreteResidual-v0,48,11,11,4.524595247754992,0.0
rl,ppo | LDPC-DiscreteResidual-v0,48,12,0,4.332440368745479,0.0
rl,ppo | LDPC-DiscreteResidual-v0,48,12,1,4.24608393784969,0.0
rl,ppo | LDPC-DiscreteResidual-v0,48,12,2,4.035122279627402,0.0
rl,ppo | LDPC-DiscreteResidual-v0,48,12,3,4.274589181701081,0.0
rl,ppo | LDPC-DiscreteResidual-v0,48,12,4,4.277683701267653,0.0
rl,ppo | LDPC-DiscreteResidual-v0,48,12,5,4.29075749840852,0.0
rl,ppo | LDPC-DiscreteResidual-v0,48,12,6,4.494675271900407,0.0
rl,ppo | LDPC-DiscreteResidual-v0,48,12,7,4.762762835787541,0.0
rl,ppo | LDPC-DiscreteResidual-v0,48,12,8,4.25316699140053,0.0
rl,ppo | LDPC-DiscreteResidual-v0,48,12,9,4.353469575310231,0.0
rl,ppo | LDPC-DiscreteResidual-v0,48,12,10,4.122532849190943,0.0
rl,ppo | LDPC-DiscreteResidual-v0,48,12,11,4.524595247754992,0.0
rl,ppo | LDPC-DiscreteResidual-v0,48,13,0,4.332440368745479,0.0
rl,ppo | LDPC-DiscreteResidual-v0,48,13,1,4.24608393784969,0.0
rl,ppo | LDPC-DiscreteResidual-v0,48,13,2,4.035122279627402,0.0
rl,ppo | LDPC-DiscreteResidual-v0,48,13,3,4.274589181701081,0.0
rl,ppo | LDPC-DiscreteResidual-v0,48,13,4,4.277683701267653,0.0
rl,ppo | LDPC-DiscreteResidual-v0,48,13,5,4.29075749840852,0.0
rl,ppo | LDPC-DiscreteResidual-v0,48,13,6,4.494675271900407,0.0
rl,ppo | LDPC-DiscreteResidual-v0,48,13,7,4.762762835787541,0.0
rl,ppo | LDPC-DiscreteResidual-v0,48,13,8,4.25316699140053,0.0
rl,ppo | LDPC-DiscreteResidual-v0,48,13,9,4.353469575310231,0.0
rl,ppo | LDPC-DiscreteResidual-v0,48,13,10,4.122532849190943,0.0
rl,ppo | LDPC-DiscreteResidual-v0,48,13,11,4.524595247754992,0.0
rl,ppo | LDPC-DiscreteResidual-v0,48,14,0,4.332440368745479,0.0
rl,ppo | LDPC-DiscreteResidual-v0,48,14,1,4.24608393784969,0.0
rl,ppo | LDPC-DiscreteResidual-v0,48,14,2,4.035122279627402,0.0
rl,ppo | LDPC-DiscreteResidual-v0,48,14,3,4.274589181701081,0.0
rl,ppo | LDPC-DiscreteResidual-v0,48,14,4,4.277683701267653,0.0
rl,ppo | LDPC-DiscreteResidual-v0,48,14,5,4.29075749840852,0.0
rl,ppo | LDPC-DiscreteResidual-v0,48,14,6,4.494675271900407,0.0
rl,ppo | LDPC-DiscreteResidual-v0,48,14,7,4.762762835787541,0.0
rl,ppo | LDPC-DiscreteResidual-v0,48,14,8,4.25316699140053,0.0
rl,ppo | LDPC-DiscreteResidual-v0,48,14,9,4.353469575310231,0.0
rl,ppo | LDPC-DiscreteResidual-v0,48,14,10,4.122532849190943,0.0
rl,ppo | LDPC-DiscreteResidual-v0,48,14,11,4.524595247754992,0.0
rl,ppo | LDPC-DiscreteResidual-v0,48,15,0,4.332440368745479,0.0
rl,ppo | LDPC-DiscreteResidual-v0,48,15,1,4.24608393784969,0.0
rl,ppo | LDPC-DiscreteResidual-v0,48,15,2,4.035122279627402,0.0
rl,ppo | LDPC-DiscreteResidual-v0,48,15,3,4.274589181701081,0.0
rl,ppo | LDPC-DiscreteResidual-v0,48,15,4,4.277683701267653,0.0
rl,ppo | LDPC-DiscreteResidual-v0,48,15,5,4.29075749840852,0.0
rl,ppo | LDPC-DiscreteResidual-v0,48,15,6,4.494675271900407,0.0
rl,ppo | LDPC-DiscreteResidual-v0,48,15,7,4.762762835787541,0.0
rl,ppo | LDPC-DiscreteResidual-v0,48,15,8,4.25316699140053,0.0
rl,ppo | LDPC-DiscreteResidual-v0,48,15,9,4.353469575310231,0.0
rl,ppo | LDPC-DiscreteResidual-v0,48,15,10,4.122532849190943,0.0
rl,ppo | LDPC-DiscreteResidual-v0,48,15,11,4.524595247754992,0.0
rl,ppo | LDPC-DiscreteResidual-v0,48,16,0,4.332440368745479,0.0
rl,ppo | LDPC-DiscreteResidual-v0,48,16,1,4.24608393784969,0.0
rl,ppo | LDPC-DiscreteResidual-v0,48,16,2,4.035122279627402,0.0
rl,ppo | LDPC-DiscreteResidual-v0,48,16,3,4.274589181701081,0.0
rl,ppo | LDPC-DiscreteResidual-v0,48,16,4,4.277683701267653,0.0
rl,ppo | LDPC-DiscreteResidual-v0,48,16,5,4.29075749840852,0.0
rl,ppo | LDPC-DiscreteResidual-v0,48,16,6,4.494675271900407,0.0
rl,ppo | LDPC-DiscreteResidual-v0,48,16,7,4.762762835787541,0.0
rl,ppo | LDPC-DiscreteResidual-v0,48,16,8,4.25316699140053,0.0
rl,ppo | LDPC-DiscreteResidual-v0,48,16,9,4.353469575310231,0.0
rl,ppo | LDPC-DiscreteResidual-v0,48,16,10,4.122532849190943,0.0
rl,ppo | LDPC-DiscreteResidual-v0,48,16,11,4.524595247754992,0.0
rl,ppo | LDPC-DiscreteResidual-v0,48,17,0,4.332440368745479,0.0
rl,ppo | LDPC-DiscreteResidual-v0,48,17,1,4.24608393784969,0.0
rl,ppo | LDPC-DiscreteResidual-v0,48,17,2,4.035122279627402,0.0
rl,ppo | LDPC-DiscreteResidual-v0,48,17,3,4.274589181701081,0.0
rl,ppo | LDPC-DiscreteResidual-v0,48,17,4,4.277683701267653,0.0
rl,ppo | LDPC-DiscreteResidual-v0,48,17,5,4.29075749840852,0.0
rl,ppo | LDPC-DiscreteResidual-v0,48,17,6,4.494675271900407,0.0
rl,ppo | LDPC-DiscreteResidual-v0,48,17,7,4.762762835787541,0.0
rl,ppo | LDPC-DiscreteResidual-v0,48,17,8,4.25316699140053,0.0
rl,ppo | LDPC-DiscreteResidual-v0,48,17,9,4.353469575310231,0.0
rl,ppo | LDPC-DiscreteResidual-v0,48,17,10,4.122532849190943,0.0
rl,ppo | LDPC-DiscreteResidual-v0,48,17,11,4.524595247754992,0.0
rl,ppo | LDPC-DiscreteResidual-v0,48,18,0,4.332440368745479,0.0
rl,ppo | LDPC-DiscreteResidual-v0,48,18,1,4.24608393784969,0.0
rl,ppo | LDPC-DiscreteResidual-v0,48,18,2,4.035122279627402,0.0
rl,ppo | LDPC-DiscreteResidual-v0,48,18,3,4.274589181701081,0.0
rl,ppo | LDPC-DiscreteResidual-v0,48,18,4,4.277683701267653,0.0
rl,ppo | LDPC-DiscreteResidual-v0,48,18,5,4.29075749840852,0.0
rl,ppo | LDPC-DiscreteResidual-v0,48,18,6,4.494675271900407,0.0
rl,ppo | LDPC-DiscreteResidual-v0,48,18,7,4.762762835787541,0.0
rl,ppo | LDPC-DiscreteResidual-v0,48,18,8,4.25316699140053,0.0
rl,ppo | LDPC-DiscreteResidual-v0,48,18,9,4.353469575310231,0.0
rl,ppo | LDPC-DiscreteResidual-v0,48,18,10,4.122532849190943,0.0
rl,ppo | LDPC-DiscreteResidual-v0,48,18,11,4.524595247754992,0.0
rl,ppo | LDPC-DiscreteResidual-v0,48,19,0,4.332440368745479,0.0
rl,ppo | LDPC-DiscreteResidual-v0,48,19,1,4.24608393784969,0.0
rl,ppo | LDPC-DiscreteResidual-v0,48,19,2,4.035122279627402,0.0
rl,ppo | LDPC-DiscreteResidual-v0,48,19,3,4.274589181701081,0.0
rl,ppo | LDPC-DiscreteResidual-v0,48,19,4,4.277683701267653,0.0
rl,ppo | LDPC-DiscreteResidual-v0,48,19,5,4.29075749840852,0.0
rl,ppo | LDPC-DiscreteResidual-v0,48,19,6,4.494675271900407,0.0
rl,ppo | LDPC-DiscreteResidual-v0,48,19,7,4.762762835787541,0.0
rl,ppo | LDPC-DiscreteResidual-v0,48,19,8,4.25316699140053,0.0
rl,ppo | LDPC-DiscreteResidual-v0,48,19,9,4.353469575310231,0.0
rl,ppo | LDPC-DiscreteResidual-v0,48,19,10,4.122532849190943,0.0
rl,ppo | LDPC-DiscreteResidual-v0,48,19,11,4.524595247754992,0.0
rl,ppo | LDPC-DiscreteResidual-v0,48,20,0,4.332440368745479,0.0
rl,ppo | LDPC-DiscreteResidual-v0,48,20,1,4.24608393784969,0.0
rl,ppo | LDPC-DiscreteResidual-v0,48,20,2,4.035122279627402,0.0
rl,ppo | LDPC-DiscreteResidual-v0,48,20,3,4.274589181701081,0.0
rl,ppo | LDPC-DiscreteResidual-v0,48,20,4,4.277683701267653,0.0
rl,ppo | LDPC-DiscreteResidual-v0,48,20,5,4.29075749840852,0.0
rl,ppo | LDPC-DiscreteResidual-v0,48,20,6,4.494675271900407,0.0
rl,ppo | LDPC-DiscreteResidual-v0,48,20,7,4.762762835787541,0.0
rl,ppo | LDPC-DiscreteResidual-v0,48,20,8,4.25316699140053,0.0
rl,ppo | LDPC-DiscreteResidual-v0,48,20,9,4.353469575310231,0.0
rl,ppo | LDPC-DiscreteResidual-v0,48,20,10,4.122532849190943,0.0
rl,ppo | LDPC-DiscreteResidual-v0,48,20,11,4.524595247754992,0.0
rl,ppo | LDPC-DiscreteResidual-v0,48,21,0,4.332440368745479,0.0
rl,ppo | LDPC-DiscreteResidual-v0,48,21,1,4.24608393784969,0.0
rl,ppo | LDPC-DiscreteResidual-v0,48,21,2,4.035122279627402,0.0
rl,ppo | LDPC-DiscreteResidual-v0,48,21,3,4.274589181701081,0.0
rl,ppo | LDPC-DiscreteResidual-v0,48,21,4,4.277683701267653,0.0
rl,ppo | LDPC-DiscreteResidual-v0,48,21,5,4.29075749840852,0.0
rl,ppo | LDPC-DiscreteResidual-v0,48,21,6,4.494675271900407,0.0
rl,ppo | LDPC-DiscreteResidual-v0,48,21,7,4.762762835787541,0.0
rl,ppo | LDPC-DiscreteResidual-v0,48,21,8,4.25316699140053,0.0
rl,ppo | LDPC-DiscreteResidual-v0,48,21,9,4.353469575310231,0.0
rl,ppo | LDPC-DiscreteResidual-v0,48,21,10,4.122532849190943,0.0
rl,ppo | LDPC-DiscreteResidual-v0,48,21,11,4.524595247754992,0.0
rl,ppo | LDPC-DiscreteResidual-v0,48,22,0,4.332440368745479,0.0
rl,ppo | LDPC-DiscreteResidual-v0,48,22,1,4.24608393784969,0.0
rl,ppo | LDPC-DiscreteResidual-v0,48,22,2,4.035122279627402,0.0
rl,ppo | LDPC-DiscreteResidual-v0,48,22,3,4.274589181701081,0.0
rl,ppo | LDPC-DiscreteResidual-v0,48,22,4,4.277683701267653,0.0
rl,ppo | LDPC-DiscreteResidual-v0,48,22,5,4.29075749840852,0.0
rl,ppo | LDPC-DiscreteResidual-v0,48,22,6,4.494675271900407,0.0
rl,ppo | LDPC-DiscreteResidual-v0,48,22,7,4.762762835787541,0.0
rl,ppo | LDPC-DiscreteResidual-v0,48,22,8,4.25316699140053,0.0
rl,ppo | LDPC-DiscreteResidual-v0,48,22,9,4.353469575310231,0.0
rl,ppo | LDPC-DiscreteResidual-v0,48,22,10,4.122532849190943,0.0
rl,ppo | LDPC-DiscreteResidual-v0,48,22,11,4.524595247754992,0.0
rl,ppo | LDPC-DiscreteResidual-v0,48,23,0,4.332440368745479,0.0
rl,ppo | LDPC-DiscreteResidual-v0,48,23,1,4.24608393784969,0.0
rl,ppo | LDPC-DiscreteResidual-v0,48,23,2,4.035122279627402,0.0
rl,ppo | LDPC-DiscreteResidual-v0,48,23,3,4.274589181701081,0.0
rl,ppo | LDPC-DiscreteResidual-v0,48,23,4,4.277683701267653,0.0
rl,ppo | LDPC-DiscreteResidual-v0,48,23,5,4.29075749840852,0.0
rl,ppo | LDPC-DiscreteResidual-v0,48,23,6,4.494675271900407,0.0
rl,ppo | LDPC-DiscreteResidual-v0,48,23,7,4.762762835787541,0.0
rl,ppo | LDPC-DiscreteResidual-v0,48,23,8,4.25316699140053,0.0
